course_id,Course Name,platform,domain,level,rating,enrollments,duration_hours,language,price,prerequisites
C0000001,Complete Guide to AI,Skillshare,AI,Intermediate,3.91,32185,80,English,34.69,Basic Programming
C0000002,Cloud Computing Fundamentals using R,Udemy,Cloud Computing,Beginner,4.13,47887,42,French,17.66,Linear Algebra
C0000003,Crash Course in Web Development,NPTEL,Web Development,Intermediate,3.86,30687,41,Spanish,89.5,Statistics
C0000004,Mastering Blockchain using R,Coursera,Blockchain,Beginner,4,14636,30,Hindi,96.66,None
C0000005,Cloud Computing Hands-on Workshop,Udemy,Cloud Computing,Intermediate,3.59,25825,56,Hindi,33.57,Python Basics
C0000006,Mastering Web Development Essentials,NPTEL,Web Development,Beginner,4.22,608,84,French,56.61,Statistics
C0000007,Mastering Cybersecurity using R,Coursera,Cybersecurity,Beginner,3.55,40607,46,French,41.32,Basic Programming
C0000008,Machine Learning for Everyone,Skillshare,Machine Learning,Advanced,4.49,36840,33,Spanish,32.34,Python Basics
C0000009,Crash Course in Machine Learning,Skillshare,Machine Learning,Beginner,3.69,10819,57,Hindi,49.9,Python Basics
C0000010,Complete Guide to AI,Coursera,AI,Beginner,3.57,44460,95,Hindi,31.7,Basic Programming
C0000011,Mastering Cloud Computing using R,edX,Cloud Computing,Intermediate,3.9,44826,58,English,55.2,Basic Programming
C0000012,Crash Course in Cybersecurity,Skillshare,Cybersecurity,Advanced,4.93,12310,29,Spanish,64.55,Linear Algebra
C0000013,Mastering AI using TensorFlow,Coursera,AI,Advanced,3.89,9858,24,English,86.04,Statistics
C0000014,AI Hands-on Workshop,Skillshare,AI,Intermediate,3.93,11011,94,Spanish,98.55,None
C0000015,Mastering Machine Learning using R,FutureLearn,Machine Learning,Beginner,3.86,44924,57,English,12.28,Basic Programming
C0000016,Mastering Data Science using TensorFlow,Coursera,Data Science,Advanced,4.53,15581,42,Hindi,76.58,Python Basics
C0000017,Machine Learning Hands-on Workshop,edX,Machine Learning,Advanced,4.94,36290,80,Hindi,22.6,Python Basics
C0000018,Data Science for Everyone,Coursera,Data Science,Intermediate,3.6,40318,7,Hindi,22.49,None
C0000019,Mastering Data Science with Python,Udemy,Data Science,Intermediate,3.52,5211,51,Hindi,43.53,None
C0000020,Crash Course in AI,NPTEL,AI,Intermediate,4.31,45592,21,French,98.76,Python Basics
C0000021,Machine Learning Project-Based Bootcamp,Coursera,Machine Learning,Advanced,3.59,38510,17,English,89.15,Python Basics
C0000022,Cybersecurity Hands-on Workshop,edX,Cybersecurity,Intermediate,4.16,18334,16,Spanish,95.94,Python Basics
C0000023,Big Data Project-Based Bootcamp,edX,Big Data,Intermediate,4.99,5478,14,French,60.61,Basic Programming
C0000024,Complete Guide to Big Data,FutureLearn,Big Data,Beginner,4.17,38937,52,Spanish,11.46,Basic Programming
C0000025,Complete Guide to Web Development,NPTEL,Web Development,Intermediate,3.81,27335,19,Spanish,84.88,Python Basics
C0000026,Crash Course in Cloud Computing,Udemy,Cloud Computing,Intermediate,4.59,42355,91,Spanish,52.27,Basic Programming
C0000027,Advanced Big Data Concepts,edX,Big Data,Beginner,3.57,37596,86,Hindi,21.52,Statistics
C0000028,Cloud Computing Hands-on Workshop,NPTEL,Cloud Computing,Advanced,3.76,49906,34,English,71.7,Python Basics
C0000029,Crash Course in Web Development,Udemy,Web Development,Beginner,4.2,2299,76,Spanish,81.88,None
C0000030,Advanced Data Science Concepts,edX,Data Science,Advanced,3.65,14769,49,English,18.11,Statistics
C0000031,Cloud Computing for Everyone,Coursera,Cloud Computing,Advanced,3.67,17799,91,French,57.99,Basic Programming
C0000032,Crash Course in Machine Learning,Udemy,Machine Learning,Beginner,4.57,8773,53,Hindi,96.63,Linear Algebra
C0000033,Advanced Machine Learning Concepts,FutureLearn,Machine Learning,Beginner,4.75,45860,96,French,36.09,None
C0000034,Mastering Big Data Masterclass,NPTEL,Big Data,Beginner,4.06,36005,19,Hindi,3.72,Linear Algebra
C0000035,Complete Guide to Cloud Computing,Udemy,Cloud Computing,Beginner,3.51,29034,14,Hindi,77.48,Statistics
C0000036,AI for Everyone,FutureLearn,AI,Intermediate,3.74,9924,23,Spanish,79.28,Basic Programming
C0000037,Crash Course in Big Data,FutureLearn,Big Data,Beginner,4.98,12732,45,Hindi,88.68,Basic Programming
C0000038,Complete Guide to Big Data,Skillshare,Big Data,Advanced,4.41,19588,14,French,59.96,Python Basics
C0000039,Complete Guide to Blockchain,NPTEL,Blockchain,Beginner,4.47,34138,82,Hindi,19.64,None
C0000040,Mastering Data Science Bootcamp,Skillshare,Data Science,Advanced,4.25,40541,35,Spanish,37.96,None
C0000041,Complete Guide to Machine Learning,Udemy,Machine Learning,Intermediate,4.55,46892,11,French,8.95,Linear Algebra
C0000042,Complete Guide to Cybersecurity,Coursera,Cybersecurity,Intermediate,3.73,8770,54,Hindi,12.51,Linear Algebra
C0000043,Web Development Fundamentals using TensorFlow,FutureLearn,Web Development,Advanced,4.45,7495,58,French,53.07,None
C0000044,Complete Guide to Cybersecurity,NPTEL,Cybersecurity,Intermediate,4.71,542,70,English,10.46,Basic Programming
C0000045,Data Science Project-Based Bootcamp,Udemy,Data Science,Intermediate,3.76,34342,65,Hindi,61.24,None
C0000046,Machine Learning for Everyone,Coursera,Machine Learning,Beginner,4.52,39524,71,Hindi,95.31,Python Basics
C0000047,Web Development for Everyone,Coursera,Web Development,Beginner,4.53,18452,64,English,10.68,Basic Programming
C0000048,AI Project-Based Bootcamp,FutureLearn,AI,Advanced,3.63,22587,21,Spanish,23.7,Python Basics
C0000049,Crash Course in Web Development,Udemy,Web Development,Beginner,4.66,4016,36,French,60.7,None
C0000050,Cybersecurity Hands-on Workshop,Skillshare,Cybersecurity,Intermediate,3.56,16511,59,Hindi,12.09,None
C0000051,Crash Course in AI,Skillshare,AI,Advanced,4.79,19725,86,English,81,Basic Programming
C0000052,Mastering Cybersecurity Bootcamp,Skillshare,Cybersecurity,Advanced,4.9,7609,52,French,81.05,Basic Programming
C0000053,Advanced Machine Learning Concepts,Udemy,Machine Learning,Intermediate,3.79,13715,58,Spanish,42.38,Statistics
C0000054,Machine Learning Hands-on Workshop,NPTEL,Machine Learning,Beginner,4.55,15824,31,English,10.88,None
C0000055,Big Data Hands-on Workshop,edX,Big Data,Beginner,3.71,459,42,French,94.22,None
C0000056,Data Science Project-Based Bootcamp,Skillshare,Data Science,Beginner,4.04,15794,58,Spanish,86.56,Statistics
C0000057,Crash Course in Cybersecurity,FutureLearn,Cybersecurity,Beginner,4.28,37882,40,French,20.22,None
C0000058,Complete Guide to Cloud Computing,NPTEL,Cloud Computing,Advanced,3.56,24900,16,Spanish,26.15,Linear Algebra
C0000059,Mastering Blockchain from Scratch,Skillshare,Blockchain,Beginner,4.87,15917,89,Spanish,0.73,Linear Algebra
C0000060,Machine Learning for Everyone,edX,Machine Learning,Advanced,3.84,39163,53,French,71.11,Python Basics
C0000061,Machine Learning Fundamentals using R,Coursera,Machine Learning,Beginner,4.24,10886,20,Hindi,45.12,Python Basics
C0000062,Advanced Web Development Concepts,Coursera,Web Development,Beginner,4.43,25733,5,Spanish,21.05,None
C0000063,Mastering AI using TensorFlow,NPTEL,AI,Advanced,3.57,40561,51,Spanish,70.26,Linear Algebra
